x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-2.052631579,54,0.100212343,0.011652598,0,0.0005919,0,0.049510819,0.007873906,0.031831461,0.071125587,0.147869149
-1.736842105,54,0.184535212,0.021457583,0,0.001958657,0,0.00217569,0.000502716,0.174000636,0.411946099,1.4008132
-1.421052632,54,0.306933488,0.03568994,0,0.005309453,0,8.44E-07,4.37E-07,0.311264443,0.777491322,4.204107581
-1.105263158,54,0.46112248,0.053618893,0,0.011790249,0,1.87E-10,7.97E-11,0.48239933,1.20618761,7.985719163
-0.789473684,54,0.625742006,0.072760698,0,0.021447557,0,1.01E-10,6.94E-12,0.665825071,1.660364768,12.1095336
-0.473684211,54,0.766975198,0.089183163,0,0.031960563,0,-3.31E-08,1.26E-10,0.823470362,2.049426984,15.67791736
-0.157894737,54,0.849130275,0.098736079,0,0.039015098,0,-3.86E-07,-1.95E-09,0.915242896,2.275558241,17.76097505
0.157894737,54,0.849130275,0.098736079,0,0.039015098,0,-3.86E-07,-1.95E-09,0.915242896,2.275558241,17.76097505
0.473684211,54,0.766975198,0.089183163,0,0.031960563,0,-3.31E-08,1.26E-10,0.823470362,2.049426984,15.67791736
0.789473684,54,0.625742006,0.072760698,0,0.021447557,0,1.01E-10,6.94E-12,0.665825071,1.660364768,12.1095336
1.105263158,54,0.46112248,0.053618893,0,0.011790249,0,1.87E-10,7.97E-11,0.48239933,1.20618761,7.985719163
1.421052632,54,0.306933488,0.03568994,0,0.005309453,0,8.44E-07,4.37E-07,0.311264443,0.777491322,4.204107581
1.736842105,54,0.184535212,0.021457583,0,0.001958657,0,0.00217569,0.000502716,0.174000636,0.411946099,1.4008132
2.052631579,54,0.100212343,0.011652598,0,0.0005919,0,0.049510819,0.007873906,0.031831461,0.071125587,0.147869149
2.368421053,54,0.049155281,0.00571573,0,0.000146528,0,0.03696607,0.005636995,0.000495984,0.002355778,0.003907549
2.684210526,54,0.021778409,0.002532373,0,2.97E-05,0,0.016803307,0.002555792,-0.000276431,-0.003307464,-0.005612617
3,54,0.008715436,0.001013423,0,4.94E-06,0,0.006685354,0.001017439,-6.82E-05,-0.001126885,-0.003272923
-3,60,0.008715436,0.001013423,0,4.94E-06,0,0.006504116,0.001019702,-9.03E-05,-0.000669341,-0.004329758
-2.684210526,60,0.021778409,0.002532373,0,2.97E-05,0,0.016470072,0.002578716,-0.000473453,-0.003119516,-0.00941892
-2.368421053,60,0.049155281,0.00571573,0,0.000146528,0,0.035471506,0.005579865,0.000942727,0.004471389,0.007822612
-2.052631579,60,0.100212343,0.011652598,0,0.0005919,0,0.035727586,0.006030745,0.046158284,0.101794524,0.248054755
-1.736842105,60,0.184535212,0.021457583,0,0.001958657,0,0.00050111,0.000137752,0.176005234,0.430306544,1.880343372
-1.421052632,60,0.306933488,0.03568994,0,0.005309453,0,3.52E-08,3.66E-08,0.311265643,0.780555863,5.061601189
-1.105263158,60,0.46112248,0.053618893,0,0.011790249,0,-4.17E-11,-1.79E-11,0.48239933,1.206839914,9.289009825
-0.789473684,60,0.625742006,0.072760698,0,0.021447557,0,-7.76E-12,-7.70E-13,0.665825071,1.660662598,13.88486858
-0.473684211,60,0.766975198,0.089183163,0,0.031960563,0,1.24E-08,-2.49E-12,0.823470317,2.049640082,17.85735127
-0.157894737,60,0.849130275,0.098736079,0,0.039015098,0,4.87E-09,7.65E-10,0.915242504,2.275746496,20.17522192
0.157894737,60,0.849130275,0.098736079,0,0.039015098,0,4.87E-09,7.65E-10,0.915242504,2.275746496,20.17522192
0.473684211,60,0.766975198,0.089183163,0,0.031960563,0,1.24E-08,-2.49E-12,0.823470317,2.049640082,17.85735127
0.789473684,60,0.625742006,0.072760698,0,0.021447557,0,-7.76E-12,-7.70E-13,0.665825071,1.660662598,13.88486858
1.105263158,60,0.46112248,0.053618893,0,0.011790249,0,-4.17E-11,-1.79E-11,0.48239933,1.206839914,9.289009825
1.421052632,60,0.306933488,0.03568994,0,0.005309453,0,3.52E-08,3.66E-08,0.311265643,0.780555863,5.061601189
1.736842105,60,0.184535212,0.021457583,0,0.001958657,0,0.00050111,0.000137752,0.176005234,0.430306544,1.880343372
2.052631579,60,0.100212343,0.011652598,0,0.0005919,0,0.035727586,0.006030745,0.046158284,0.101794524,0.248054755
2.368421053,60,0.049155281,0.00571573,0,0.000146528,0,0.035471506,0.005579865,0.000942727,0.004471389,0.007822612
2.684210526,60,0.021778409,0.002532373,0,2.97E-05,0,0.016470072,0.002578716,-0.000473453,-0.003119516,-0.00941892
3,60,0.008715436,0.001013423,0,4.94E-06,0,0.006504116,0.001019702,-9.03E-05,-0.000669341,-0.004329758
