x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
0.3,6,0.821403138,0.095511993,0,0.036557247,0,0.470412978,0.075760948,0.174257631,0.156408955,0.079660404
0.4,6,0.792584985,0.092161045,0,0.034085752,0,0.465930192,0.074843083,0.153039977,0.138708782,0.07185951
0.5,6,0.757013713,0.08802485,0,0.031152031,0,0.45837534,0.073412114,0.129396234,0.118890586,0.063000911
0.6,6,0.715698451,0.08322075,0,0.027907053,0,0.446919191,0.071357115,0.105304638,0.098530665,0.053724137
0.7,6,0.669768673,0.077880078,0,0.024505056,0,0.431016771,0.068611254,0.082495723,0.079009289,0.044605266
0.8,6,0.62042317,0.072142229,0,0.021091697,0,0.410537356,0.065169488,0.062244769,0.061363334,0.036101003
0.9,6,0.568878616,0.066148676,0,0.017794323,0,0.385804057,0.061092817,0.04527704,0.046221413,0.028520878
1,6,0.516320815,0.060037304,0,0.014715178,0,0.357538063,0.056498912,0.031793324,0.033820673,0.022027091
1.1,6,0.463861238,0.053937353,0,0.011927891,0,0.326733152,0.051543126,0.021585963,0.02408362,0.016655489
1.2,6,0.412500951,0.047965227,0,0.00947711,0,0.294502828,0.046396058,0.014195044,0.016723222,0.012348152
1.3,6,0.363103345,0.042221319,0,0.007380781,0,0.261940164,0.04122332,0.009056977,0.011346619,0.008988408
1.4,6,0.316376319,0.036787944,0,0.005634337,0,0.230015065,0.036170883,0.005615798,0.007538004,0.006431632
1.5,6,0.272863919,0.031728363,0,0.004215969,0,0.199515789,0.031356834,0.003388705,0.004913261,0.004528463
1.6,6,0.232946762,0.027086833,0,0.00309219,0,0.171028832,0.026868667,0.001992284,0.003148161,0.003139843
1.7,6,0.196850113,0.022889548,0,0.002223049,0,0.144945803,0.022764426,0.0011422,0.001986664,0.002145008
1.8,6,0.164658094,0.01914629,0,0.001566556,0,0.121485902,0.019076103,0.000638943,0.001236864,0.001444287
1.9,6,0.13633235,0.015852599,0,0.001082074,0,0.100725259,0.015814028,0.000348859,0.000760895,0.000958588
2,6,0.111733443,0.012992261,0,0.000732626,0,0.082627506,0.012971451,0.000185928,0.000463142,0.000627103
2.1,6,0.090643333,0.010539922,0,0.000486207,0,0.06707248,0.010528865,9.67E-05,0.000279224,0.000404283
2.2,6,0.072787529,0.008463666,0,0.000316282,0,0.05388159,0.008457853,4.91E-05,0.000166865,0.000256763
2.3,6,0.057855747,0.006727412,0,0.00020167,0,0.042839354,0.006724366,2.43E-05,9.89E-05,0.000160586
2.4,6,0.045520232,0.00529305,0,0.000126044,0,0.03371109,0.005291442,1.17E-05,5.81E-05,9.89E-05
2.5,6,0.035451192,0.004122232,0,7.72E-05,0,0.026256951,0.004121364,5.52E-06,3.38E-05,5.99E-05
2.6,6,0.02732912,0.003177805,0,4.64E-05,0,0.020242631,0.003177319,2.53E-06,1.95E-05,3.57E-05
2.7,6,0.020853976,0.002424881,0,2.73E-05,0,0.015447105,0.002424596,1.13E-06,1.12E-05,2.09E-05
2.8,6,0.015751449,0.001831564,0,1.57E-05,0,0.011667797,0.001831387,4.89E-07,6.33E-06,1.20E-05
2.9,6,0.011776618,0.001369374,0,8.91E-06,0,0.008723579,0.001369258,2.10E-07,3.74E-06,6.94E-06
3,6,0.008715436,0.001013423,0,4.94E-06,0,0.00645603,0.001013342,1.09E-07,2.89E-06,4.90E-06
-3,12,0.008715436,0.001013423,0,4.94E-06,0,0.004782386,0.001013266,1.52E-07,1.53E-06,7.31E-06
-2.9,12,0.011776618,0.001369374,0,8.91E-06,0,0.006462089,0.001369154,2.87E-07,2.02E-06,1.01E-05
-2.8,12,0.015751449,0.001831564,0,1.57E-05,0,0.008642997,0.001831237,6.65E-07,3.59E-06,1.74E-05
-2.7,12,0.020853976,0.002424881,0,2.73E-05,0,0.011442401,0.00242437,1.56E-06,6.91E-06,3.07E-05
-2.6,12,0.02732912,0.003177805,0,4.64E-05,0,0.014994325,0.003176957,3.56E-06,1.35E-05,5.37E-05
-2.5,12,0.035451192,0.004122232,0,7.72E-05,0,0.019448478,0.004120736,8.00E-06,2.62E-05,9.29E-05
-2.4,12,0.045520232,0.00529305,0,0.000126044,0,0.024967777,0.005290259,1.76E-05,5.11E-05,0.000159364
-2.3,12,0.057855747,0.006727412,0,0.00020167,0,0.031723949,0.006721989,3.79E-05,9.91E-05,0.000270947
-2.2,12,0.072787529,0.008463666,0,0.000316282,0,0.039890583,0.008452859,8.04E-05,0.000190971,0.000457241
-2.1,12,0.090643333,0.010539922,0,0.000486207,0,0.049632645,0.010518138,0.000167451,0.000365415,0.000766519
-2,12,0.111733443,0.012992261,0,0.000732626,0,0.061090897,0.012948271,0.000343054,0.000692829,0.001277129
-1.9,12,0.13633235,0.015852599,0,0.001082074,0,0.074358666,0.015764236,0.000691213,0.001299505,0.002115111
-1.8,12,0.164658094,0.01914629,0,0.001566556,0,0.089446906,0.018970627,0.00136903,0.002407217,0.003480771
-1.7,12,0.196850113,0.022889548,0,0.002223049,0,0.106231801,0.022545364,0.002662286,0.004395713,0.005687219
-1.6,12,0.232946762,0.027086833,0,0.00309219,0,0.124378328,0.026424728,0.005073127,0.007895287,0.00921311
-1.5,12,0.272863919,0.031728363,0,0.004215969,0,0.143236572,0.030483003,0.009445022,0.01391133,0.014768579
-1.4,12,0.316376319,0.036787944,0,0.005634337,0,0.161721837,0.034508559,0.017111692,0.023966377,0.023365598
-1.3,12,0.363103345,0.042221319,0,0.007380781,0,0.178223603,0.038184436,0.030012658,0.040210685,0.036369473
-1.2,12,0.412500951,0.047965227,0,0.00947711,0,0.190643418,0.041091958,0.050646479,0.065400436,0.055487695
-1.1,12,0.463861238,0.053937353,0,0.011927891,0,0.196705052,0.042764909,0.081674729,0.102599338,0.082634294
-1,12,0.516320815,0.060037304,0,0.014715178,0,0.194620303,0.042813053,0.125060288,0.15449251,0.11961362
-0.9,12,0.568878616,0.066148676,0,0.017794323,0,0.183939972,0.041088997,0.180941207,0.22238624,0.167623935
-0.8,12,0.62042317,0.072142229,0,0.021091697,0,0.166084293,0.037807653,0.24687558,0.305263922,0.226689681
-0.7,12,0.669768673,0.077880078,0,0.024505056,0,0.144042705,0.033515817,0.318132145,0.399426038,0.295231519
-0.6,12,0.715698451,0.08322075,0,0.027907053,0,0.121301087,0.028904541,0.389016662,0.498996488,0.36997822
-0.5,12,0.757013713,0.08802485,0,0.031152031,0,0.100688589,0.024581414,0.454407206,0.597054313,0.446284926
-0.4,12,0.792584985,0.092161045,0,0.034085752,0,0.083811004,0.020935783,0.510636805,0.686827374,0.518745404
-0.3,12,0.821403138,0.095511993,0,0.036557247,0,0.07116185,0.018133916,0.555539043,0.762513409,0.581899916
-0.2,12,0.84262686,0.097979867,0,0.038431578,0,0.0625696,0.016192138,0.588029228,0.819640469,0.630873307
-0.1,12,0.855623419,0.099491095,0,0.039601993,0,0.057637995,0.015061916,0.607637459,0.855113735,0.661863204
0,12,0.86,0.1,0,0.04,0,0.056035484,0.014691996,0.614187921,0.867134323,0.672466667
0.1,12,0.855623419,0.099491095,0,0.039601993,0,0.057637995,0.015061916,0.607637459,0.855113735,0.661863204
0.2,12,0.84262686,0.097979867,0,0.038431578,0,0.0625696,0.016192138,0.588029228,0.819640469,0.630873307
0.3,12,0.821403138,0.095511993,0,0.036557247,0,0.07116185,0.018133916,0.555539043,0.762513409,0.581899916
0.4,12,0.792584985,0.092161045,0,0.034085752,0,0.083811004,0.020935783,0.510636805,0.686827374,0.518745404
0.5,12,0.757013713,0.08802485,0,0.031152031,0,0.100688589,0.024581414,0.454407206,0.597054313,0.446284926
0.6,12,0.715698451,0.08322075,0,0.027907053,0,0.121301087,0.028904541,0.389016662,0.498996488,0.36997822
0.7,12,0.669768673,0.077880078,0,0.024505056,0,0.144042705,0.033515817,0.318132145,0.399426038,0.295231519
0.8,12,0.62042317,0.072142229,0,0.021091697,0,0.166084293,0.037807653,0.24687558,0.305263922,0.226689681
0.9,12,0.568878616,0.066148676,0,0.017794323,0,0.183939972,0.041088997,0.180941207,0.22238624,0.167623935
1,12,0.516320815,0.060037304,0,0.014715178,0,0.194620303,0.042813053,0.125060288,0.15449251,0.11961362
1.1,12,0.463861238,0.053937353,0,0.011927891,0,0.196705052,0.042764909,0.081674729,0.102599338,0.082634294
1.2,12,0.412500951,0.047965227,0,0.00947711,0,0.190643418,0.041091958,0.050646479,0.065400436,0.055487695
1.3,12,0.363103345,0.042221319,0,0.007380781,0,0.178223603,0.038184436,0.030012658,0.040210685,0.036369473
1.4,12,0.316376319,0.036787944,0,0.005634337,0,0.161721837,0.034508559,0.017111692,0.023966377,0.023365598
1.5,12,0.272863919,0.031728363,0,0.004215969,0,0.143236572,0.030483003,0.009445022,0.01391133,0.014768579
1.6,12,0.232946762,0.027086833,0,0.00309219,0,0.124378328,0.026424728,0.005073127,0.007895287,0.00921311
1.7,12,0.196850113,0.022889548,0,0.002223049,0,0.106231801,0.022545364,0.002662286,0.004395713,0.005687219
1.8,12,0.164658094,0.01914629,0,0.001566556,0,0.089446906,0.018970627,0.00136903,0.002407217,0.003480771
1.9,12,0.13633235,0.015852599,0,0.001082074,0,0.074358666,0.015764236,0.000691213,0.001299505,0.002115111
2,12,0.111733443,0.012992261,0,0.000732626,0,0.061090897,0.012948271,0.000343054,0.000692829,0.001277129
2.1,12,0.090643333,0.010539922,0,0.000486207,0,0.049632645,0.010518138,0.000167451,0.000365415,0.000766519
2.2,12,0.072787529,0.008463666,0,0.000316282,0,0.039890583,0.008452859,8.04E-05,0.000190971,0.000457241
2.3,12,0.057855747,0.006727412,0,0.00020167,0,0.031723949,0.006721989,3.79E-05,9.91E-05,0.000270947
2.4,12,0.045520232,0.00529305,0,0.000126044,0,0.024967777,0.005290259,1.76E-05,5.11E-05,0.000159364
2.5,12,0.035451192,0.004122232,0,7.72E-05,0,0.019448478,0.004120736,8.00E-06,2.62E-05,9.29E-05
2.6,12,0.02732912,0.003177805,0,4.64E-05,0,0.014994325,0.003176957,3.56E-06,1.35E-05,5.37E-05
2.7,12,0.020853976,0.002424881,0,2.73E-05,0,0.011442401,0.00242437,1.56E-06,6.91E-06,3.07E-05
2.8,12,0.015751449,0.001831564,0,1.57E-05,0,0.008642997,0.001831237,6.65E-07,3.59E-06,1.74E-05
2.9,12,0.011776618,0.001369374,0,8.91E-06,0,0.006462089,0.001369154,2.87E-07,2.02E-06,1.01E-05
3,12,0.008715436,0.001013423,0,4.94E-06,0,0.004782386,0.001013266,1.52E-07,1.53E-06,7.31E-06
-3,18,0.008715436,0.001013423,0,4.94E-06,0,0.003542622,0.001013194,1.73E-07,1.07E-06,8.69E-06
-2.9,18,0.011776618,0.001369374,0,8.91E-06,0,0.00478688,0.001369054,3.24E-07,1.51E-06,1.19E-05
-2.8,18,0.015751449,0.001831564,0,1.57E-05,0,0.006402385,0.001831095,7.60E-07,2.95E-06,2.09E-05
-2.7,18,0.020853976,0.002424881,0,2.73E-05,0,0.00847598,0.002424158,1.81E-06,6.27E-06,3.78E-05
-2.6,18,0.02732912,0.003177805,0,4.64E-05,0,0.011106823,0.003176615,4.26E-06,1.35E-05,6.85E-05
-2.5,18,0.035451192,0.004122232,0,7.72E-05,0,0.014405498,0.004120118,9.85E-06,2.88E-05,0.000123707
-2.4,18,0.045520232,0.00529305,0,0.000126044,0,0.018491869,0.005289009,2.25E-05,6.14E-05,0.000222816
-2.3,18,0.057855747,0.006727412,0,0.00020167,0,0.02349109,0.006719216,5.06E-05,0.00012973,0.000400978
-2.2,18,0.072787529,0.008463666,0,0.000316282,0,0.029526663,0.008446363,0.000112874,0.00027199,0.000721656
-2.1,18,0.090643333,0.010539922,0,0.000486207,0,0.036708515,0.010502552,0.00024893,0.000565472,0.001299479
-2,18,0.111733443,0.012992261,0,0.000732626,0,0.045112024,0.012910782,0.00054332,0.001164947,0.0023409
-1.9,18,0.13633235,0.015852599,0,0.001082074,0,0.05474025,0.015674985,0.00117271,0.002375489,0.004215308
-1.8,18,0.164658094,0.01914629,0,0.001566556,0,0.065455622,0.018762112,0.002498255,0.004785822,0.007576033
-1.7,18,0.196850113,0.022889548,0,0.002223049,0,0.076860319,0.022070729,0.00523422,0.009498476,0.013557269
-1.6,18,0.232946762,0.027086833,0,0.00309219,0,0.08810598,0.025380589,0.010723531,0.018489333,0.024071956
-1.5,18,0.272863919,0.031728363,0,0.004215969,0,0.097653188,0.028286786,0.021297002,0.035072318,0.042207336
-1.4,18,0.316376319,0.036787944,0,0.005634337,0,0.103138722,0.030155827,0.040503063,0.064265357,0.07262346
-1.3,18,0.363103345,0.042221319,0,0.007380781,0,0.101761141,0.030206345,0.07263659,0.11252513,0.121675912
-1.2,18,0.412500951,0.047965227,0,0.00947711,0,0.091657697,0.027846208,0.1208637,0.186116466,0.196782457
-1.1,18,0.463861238,0.053937353,0,0.011927891,0,0.073852699,0.023197448,0.184380559,0.288071653,0.304647236
-1,18,0.516320815,0.060037304,0,0.014715178,0,0.052732992,0.017315614,0.257305031,0.415524568,0.4487025
-0.9,18,0.568878616,0.066148676,0,0.017794323,0,0.033609858,0.011657197,0.331526486,0.560020303,0.627117197
-0.8,18,0.62042317,0.072142229,0,0.021091697,0,0.019576334,0.007229371,0.400998733,0.710863186,0.832649307
-0.7,18,0.669768673,0.077880078,0,0.024505056,0,0.010783501,0.004259432,0.463242823,0.858569865,1.054224652
-0.6,18,0.715698451,0.08322075,0,0.027907053,0,0.005838478,0.002468414,0.517965219,0.996229427,1.279044628
-0.5,18,0.757013713,0.08802485,0,0.031152031,0,0.003227853,0.001456138,0.565339909,1.119134411,1.494261444
-0.4,18,0.792584985,0.092161045,0,0.034085752,0,0.00188705,0.000902337,0.605240552,1.22395579,1.688012596
-0.3,18,0.821403138,0.095511993,0,0.036557247,0,0.001202364,0.00060358,0.637199857,1.308164583,1.850011546
-0.2,18,0.84262686,0.097979867,0,0.038431578,0,0.00085569,0.000445539,0.660608577,1.369787409,1.971912595
