"x","SVEIR_Synth_Data","Out_SVEIR_t0","Out_SVEIR_t6","Out_SVEIR_t12","Out_SVEIR_t18","Out_SVEIR_t24","Out_SVEIR_t30","Out_SVEIR_t36","Out_SVEIR_t42","Out_SVEIR_t48","Out_SVEIR_t54","Out_SVEIR_t60"
2.1,0.0906433331232032,0.0906433331232032,0.0670724802273329,0.0496326448332044,0.0367085152760842,0.0271274860856304,0.0200250551324801,0.0147615404133413,0.0108630077562895,0.00797807351356143,0.0058460267591823,0.0042732060058677
2.2,0.072787528895353,0.072787528895353,0.0538815895216022,0.039890583329469,0.0295266628643953,0.0218481698661739,0.0161595920621577,0.0119459469821747,0.00882562431195131,0.00651575085007923,0.00480661120104316,0.00354272203929615
2.3,0.0578557473226356,0.0578557473226356,0.0428393539051136,0.0317239492768086,0.0234910898317046,0.0173925693869821,0.0128752002481035,0.00952932092990941,0.00705141703987047,0.00521658332219744,0.00385815837707022,0.00285265613048594
2.4,0.0455202316621295,0.0455202316621295,0.0337110900144276,0.0249677769523648,0.0184918693200085,0.0136949866195071,0.0101418314041086,0.00751002766747917,0.00556075981129418,0.00411710001241667,0.00304796936667532,0.00225626877602862
2.5,0.0354511920640582,0.0354511920640582,0.0262569506570804,0.0194484781146083,0.0144054975121171,0.0106699971154667,0.00790298299307907,0.00585338796298098,0.00433523218420483,0.00321074346819395,0.00237786111163759,0.00176098789453487
2.6,0.0273291199190486,0.0273291199190486,0.0202426307011996,0.0149943249557932,0.011106823315026,0.00822718217720265,0.00609409508823534,0.00451402242139251,0.00334360046146477,0.00247662994004358,0.00183444157909811,0.00135876576425355
2.7,0.0208539761801183,0.0208539761801183,0.0154471054143964,0.0114424014356579,0.00847598042202275,0.00627859699980787,0.00465087124585738,0.00344512361046238,0.00255196086247804,0.00189034863718006,0.00140025955569059,0.00103723209254447
2.8,0.0157514494443114,0.0157514494443114,0.0116677970457271,0.00864299695563808,0.00640238540713254,0.00474263355637919,0.00351315328878578,0.00260240110617902,0.00192775095140198,0.00142799659391976,0.00105779867289165,0.000783574877213753
2.9,0.011776618264831,0.011776618264831,0.00872357942515703,0.0064620890735314,0.00478687958775452,0.00354594834358879,0.00262671099276873,0.0019457723932413,0.00144135711815328,0.00106770423255974,0.000790915667888477,0.000585883509409109
3,0.00871543554807774,0.00871543554807774,0.00645603010750935,0.00478238613322059,0.00354262228315377,0.00262425114848116,0.00194395398532744,0.00144001326293782,0.0010667112820925,0.000790182054527776,0.000585338854597164,0.000433600220474359
-3,0.00101342273814857,0.00101342273814857,0.00101334179895336,0.00101326648677425,0.00101319353223592,0.00101312128809164,0.00101304913953529,0.00101297687232541,0.00101290441640851,0.00101283175066724,0.00101275886902048,0.00101268576884187
-2.9,0.00136937421684081,0.00136937421684081,0.00136925823807419,0.00136915400299748,0.00136905358481894,0.00136895413857037,0.00136885467036358,0.00136875484930648,0.00136865457302761,0.0013685538139658,0.00136845256612922,0.00136835082718379
-2.8,0.00183156388887342,0.00183156388887342,0.00183138683172961,0.00183123706930903,0.00183109475731689,0.00183095360742452,0.00183081162740659,0.00183066821542429,0.00183052321685894,0.00183037661437561,0.0018302284246972,0.00183007866337991
-2.7,0.00242488095117655,0.00242488095117655,0.00242459576218143,0.00242437023931465,0.0024241582758456,0.0024239458287481,0.00242372862628248,0.00242350540657576,0.00242327583581155,0.00242303985013514,0.00242279743690819,0.00242254855586255
-2.6,0.00317780464174984,0.00317780464174984,0.00317731941630116,0.00317695736138173,0.00317661495271681,0.0031762614422017,0.00317588734220344,0.00317548951449594,0.00317506674511362,0.00317461835934776,0.00317414373799343,0.00317364212777546
-2.5,0.00412223163535561,0.00412223163535561,0.00412136424221187,0.0041207355022285,0.00412011799897112,0.00411944426611908,0.00411869134474974,0.00411784922949575,0.00411691183380264,0.00411587411836725,0.0041147310014874,0.00411347695189456
-2.4,0.00529305019327087,0.00529305019327087,0.0052914417217303,0.00529025893726696,0.00528900910869594,0.00528753886963204,0.0052857840346859,0.00528370555971514,0.00528127188952583,0.00527845319605491,0.00527521924506083,0.00527153924833617
-2.3,0.00672741247937624,0.00672741247937624,0.00672436574458528,0.00672198854242757,0.0067192164983344,0.00671567540755068,0.00671115802586218,0.00670550033308516,0.00669854948415714,0.00669015438989025,0.00668016561976122,0.0066684419490773
-2.2,0.00846366615062244,0.00846366615062244,0.00845785259750225,0.00845285932113845,0.00844636337704041,0.00843736684154683,0.00842514286988223,0.00840901261994253,0.00838829997088422,0.00836233730480694,0.00833050507394916,0.00829228660662679
-2.1,0.0105399224561864,0.0105399224561864,0.0105288653490504,0.01051813786547,0.0105025524770867,0.0104792417639203,0.0104456185234306,0.0103990313204783,0.0103367982277321,0.0102564199133067,0.0101559105712612,0.0100340732188276
-2,0.0129922608305059,0.0129922608305059,0.012971450849645,0.0129482706365962,0.0129107815873362,0.0128504332761009,0.0127583138363767,0.012624956306421,0.0124412699888617,0.0122002433693701,0.0118986828528288,0.0115378969226917
-1.9,0.0158525988359242,0.0158525988359242,0.0158140278802019,0.0157642357257514,0.0156749849680449,0.015520877323812,0.0152732677284564,0.0149028314570456,0.0143867562071783,0.0137177992035736,0.0129089783746744,0.0119902736411713
-1.8,0.0191462899678706,0.0191462899678706,0.0190761030126289,0.0189706274799971,0.0187621116205564,0.0183780648696517,0.0177364160919976,0.0167680010642186,0.0154549385206842,0.0138563628972726,0.0120928369262011,0.0103015680061242
-1.7,0.0228895480667106,0.0228895480667106,0.0227644259673831,0.0225453644638044,0.0220707294858106,0.0211487874464059,0.0195879752153948,0.0173207826703204,0.0145230446399683,0.0115647085287872,0.00881433089242925,0.00649405198211346
-1.6,0.0270868328470464,0.0270868328470464,0.0268686670358431,0.0264247275949133,0.0253805889541265,0.0232891177661697,0.0198721625003288,0.0154582241534685,0.0109587421402026,0.00720296740360599,0.00448951347136477,0.00270438810088079
-1.5,0.0317283626701565,0.0317283626701565,0.0313568343385228,0.0304830033665341,0.0282867861797855,0.0239296705847184,0.0175856169352839,0.0110484658993617,0.00610226198147989,0.00309892344622184,0.00150063506280848,0.00070864596573409
-1.4,0.0367879441171442,0.0367879441171442,0.0361708827710689,0.0345085593623322,0.0301558270997437,0.0221352253932807,0.012791272736493,0.00594381856663626,0.00240006380587513,0.000901286880023503,0.000327225956499553,0.000117062073693366
-1.3,0.0422213192102104,0.0422213192102104,0.0412233203230087,0.0381844359780487,0.0302063449824375,0.0177022147040123,0.00732195983565388,0.00236198065002893,0.000672046336157812,0.000181282150469967,4.78700807630527e-05,1.254528900911e-05
-1.2,0.0479652268830044,0.0479652268830044,0.0463960575241908,0.041091957802291,0.0278462082459021,0.0118692474072737,0.00327611447108295,0.000710263066228677,0.000139346246053624,2.63509169661143e-05,4.91813743112939e-06,9.13525203146167e-07
-1.1,0.0539373532022242,0.0539373532022242,0.0515431259211149,0.0427649089398379,0.0231974476996434,0.00663054100213395,0.00117876755272417,0.000169395138169247,2.25585725383305e-05,2.932662125842e-06,3.78257449540504e-07,4.81507040097035e-08
-1,0.0600373041198404,0.0600373041198404,0.0564989121426488,0.0428130530925512,0.0173156144333703,0.00315185236209841,0.000357585647418728,3.38827756275289e-05,3.03809783448616e-06,2.69977165442356e-07,2.39107925026822e-08,1.99055261625442e-09
-0.9,0.0661486763057485,0.0661486763057485,0.0610928167352461,0.0410889965713854,0.0116571973472038,0.00132604478249361,9.65037910544082e-05,6.04507473918093e-06,3.68347646819988e-07,2.30318713549753e-08,1.44520940370456e-09,7.06349794863762e-11
-0.8,0.0721422290354756,0.0721422290354756,0.0651694879105948,0.0378076529945914,0.00722937120393236,0.000517417059099768,2.44902649951191e-05,1.03044516727968e-06,4.43922743241424e-08,2.19573254728757e-09,1.04783533359342e-10,1.91785198749418e-12
-0.7,0.0778800783071405,0.0778800783071405,0.0686112544273492,0.0335158167993308,0.00425943159788758,0.000196429757071439,6.1807639352832e-06,1.81105268784201e-07,6.04701484617048e-09,2.26438340479985e-10,-3.8071261289374e-12,6.16437523194595e-14
-0.6,0.0832207500690301,0.0832207500690301,0.0713571150448695,0.0289045414192719,0.00246841381301367,7.59948050552819e-05,1.64017467725708e-06,3.53925216455085e-08,1.27761126879324e-09,-4.74350238724587e-11,3.64021629800995e-11,-1.12354544844532e-12
-0.5,0.088024850405056,0.088024850405056,0.0734121143649121,0.0245814144023286,0.00145613803297774,3.12952842716948e-05,4.82992700056635e-07,8.11294731085564e-09,6.50606035922070e-10,1.12845904753104e-10,1.82602463757067e-10,-1.86942277819054e-11
-0.4,0.0921610447297725,0.0921610447297725,0.0748430829251673,0.0209357831604573,0.000902336687301648,1.42724261236842e-05,1.65857051978754e-07,2.17928755134902e-09,5.69643137549483e-10,4.28370449416198e-10,3.47412240814593e-10,-6.27663293319572e-11
-0.3,0.0955119927982107,0.0955119927982107,0.0757609481904045,0.0181339159359072,0.000603579786966009,7.46114118621348e-06,6.92897793376777e-08,5.9576093493553e-10,6.32660664813847e-10,6.07275481158725e-10,4.89638816494814e-10,-1.28070720955823e-10
